channel,attention,cued_side,timepoint,erp,time
Pz,0,0,12,-1.3213531008485285e-07,-0.04000000000000001
POz,0,0,12,-2.9625652384996195e-07,-0.04000000000000001
Oz,0,0,12,-7.141847069176631e-07,-0.04000000000000001
Iz,0,0,12,-7.274906012874914e-07,-0.04000000000000001
O2,0,0,13,1.4041257223927483e-07,-0.035
PO4,0,0,13,9.77482175411685e-08,-0.035
P4,0,0,13,6.314540714536112e-07,-0.035
P6,0,0,13,2.6148384159590567e-07,-0.035
P2,0,0,13,6.275827182399579e-07,-0.035
P1,0,0,13,1.8562641680405288e-07,-0.035
P3,0,0,13,-2.920342930010736e-08,-0.035
P5,0,0,13,-8.446885114230855e-07,-0.035
PO3,0,0,13,-7.319040700557569e-07,-0.035
O1,0,0,13,-9.088277190078417e-07,-0.035
Pz,0,0,13,-5.734795318814162e-08,-0.035
POz,0,0,13,-1.7841997351567698e-07,-0.035
Oz,0,0,13,-9.594281079691925e-07,-0.035
Iz,0,0,13,-1.0209573741293915e-06,-0.035
O2,0,0,14,3.421312317803166e-07,-0.03
PO4,0,0,14,3.8641007034309066e-07,-0.03
P4,0,0,14,7.174710044458465e-07,-0.03
P6,0,0,14,3.2051667366475703e-07,-0.03
P2,0,0,14,8.28288886975277e-07,-0.03
P1,0,0,14,6.30732957738241e-07,-0.03
P3,0,0,14,3.8360390065318695e-07,-0.03
P5,0,0,14,-3.708254983245218e-07,-0.03
PO3,0,0,14,-3.7801682924531083e-07,-0.03
O1,0,0,14,-7.788334358702659e-07,-0.03
Pz,0,0,14,3.069187043399537e-07,-0.03
POz,0,0,14,1.2232958315541435e-07,-0.03
Oz,0,0,14,-6.640774209301443e-07,-0.03
Iz,0,0,14,-1.0445159545272164e-06,-0.03
O2,0,0,15,5.422482653607462e-07,-0.02500000000000001
PO4,0,0,15,6.178379699878576e-07,-0.02500000000000001
P4,0,0,15,6.446797099664712e-07,-0.02500000000000001
P6,0,0,15,3.0244483455437095e-07,-0.02500000000000001
P2,0,0,15,9.644236406842027e-07,-0.02500000000000001
P1,0,0,15,9.620492018930844e-07,-0.02500000000000001
P3,0,0,15,8.252766628358472e-07,-0.02500000000000001
P5,0,0,15,2.2305797379644574e-08,-0.02500000000000001
PO3,0,0,15,-5.822873154943815e-08,-0.02500000000000001
O1,0,0,15,-3.311871877937048e-07,-0.02500000000000001
Pz,0,0,15,5.808921376335288e-07,-0.02500000000000001
POz,0,0,15,4.538646071148899e-07,-0.02500000000000001
Oz,0,0,15,-4.6374931344647155e-07,-0.02500000000000001
Iz,0,0,15,-1.1010774142378116e-06,-0.02500000000000001
O2,0,0,16,8.027491726083709e-07,-0.020000000000000004
PO4,0,0,16,8.741091981180286e-07,-0.020000000000000004
P4,0,0,16,7.723861865082226e-07,-0.020000000000000004
P6,0,0,16,2.8533106208883784e-07,-0.020000000000000004
P2,0,0,16,1.0416053306652446e-06,-0.020000000000000004
P1,0,0,16,1.3433472448695653e-06,-0.020000000000000004
P3,0,0,16,8.619468799103171e-07,-0.020000000000000004
P5,0,0,16,1.6456691971942795e-07,-0.020000000000000004
PO3,0,0,16,2.923557355883649e-07,-0.020000000000000004
O1,0,0,16,-5.720357165572082e-08,-0.020000000000000004
Pz,0,0,16,8.5544498917133e-07,-0.020000000000000004
POz,0,0,16,9.326577480370971e-07,-0.020000000000000004
Oz,0,0,16,-7.009599833554703e-08,-0.020000000000000004
Iz,0,0,16,-7.489772794869047e-07,-0.020000000000000004
O2,0,0,17,5.992464465972423e-07,-0.015
PO4,0,0,17,5.174074025727644e-07,-0.015
P4,0,0,17,6.434045595991411e-07,-0.015
P6,0,0,17,6.678113268031026e-08,-0.015
P2,0,0,17,8.234340227766167e-07,-0.015
P1,0,0,17,1.076063344458895e-06,-0.015
P3,0,0,17,5.796216671865853e-07,-0.015
P5,0,0,17,-3.5194919225906714e-08,-0.015
PO3,0,0,17,1.7460334020534658e-07,-0.015
O1,0,0,17,-3.112065145543551e-08,-0.015
Pz,0,0,17,6.816592829391962e-07,-0.015
POz,0,0,17,9.645122545016275e-07,-0.015
Oz,0,0,17,-1.1496223419553775e-07,-0.015
Iz,0,0,17,-8.151951228181967e-07,-0.015
O2,0,0,18,7.953081231590099e-07,-0.010000000000000009
PO4,0,0,18,7.350650856028937e-07,-0.010000000000000009
P4,0,0,18,6.756099579888984e-07,-0.010000000000000009
P6,0,0,18,2.457504095598754e-07,-0.010000000000000009
P2,0,0,18,9.778267611260749e-07,-0.010000000000000009
P1,0,0,18,1.1746762369177326e-06,-0.010000000000000009
P3,0,0,18,5.708134385414298e-07,-0.010000000000000009
P5,0,0,18,-4.96100203539422e-08,-0.010000000000000009
PO3,0,0,18,3.577684894072783e-07,-0.010000000000000009
O1,0,0,18,2.183747160412442e-07,-0.010000000000000009
Pz,0,0,18,7.557694025275253e-07,-0.010000000000000009
POz,0,0,18,9.521515207873962e-07,-0.010000000000000009
Oz,0,0,18,2.4011359254963476e-07,-0.010000000000000009
Iz,0,0,18,-4.492361734163566e-07,-0.010000000000000009
O2,0,0,19,2.3735462838048937e-07,-0.0050000000000000044
PO4,0,0,19,2.436124810434836e-07,-0.0050000000000000044
P4,0,0,19,2.359386441361844e-07,-0.0050000000000000044
P6,0,0,19,-1.8659366537375153e-07,-0.0050000000000000044
P2,0,0,19,5.446979160064623e-07,-0.0050000000000000044
P1,0,0,19,1.0092725769897204e-06,-0.0050000000000000044
P3,0,0,19,8.128198665012626e-07,-0.0050000000000000044
P5,0,0,19,2.627645877662289e-07,-0.0050000000000000044
PO3,0,0,19,1.9835713601735282e-07,-0.0050000000000000044
O1,0,0,19,-1.5804795571617174e-07,-0.0050000000000000044
Pz,0,0,19,4.950771739201585e-07,-0.0050000000000000044
POz,0,0,19,5.333150400879269e-07,-0.0050000000000000044
Oz,0,0,19,-8.226470844477665e-08,-0.0050000000000000044
Iz,0,0,19,-1.0649830805782952e-06,-0.0050000000000000044
O2,0,0,20,3.662435525242764e-07,0.0
PO4,0,0,20,1.9691303098033215e-07,0.0
P4,0,0,20,3.966257584140954e-07,0.0
P6,0,0,20,-2.5473384979260684e-07,0.0
P2,0,0,20,7.249853268817492e-07,0.0
P1,0,0,20,1.0428768704071388e-06,0.0
P3,0,0,20,7.093147041046439e-07,0.0
P5,0,0,20,-2.588420228839235e-08,0.0
PO3,0,0,20,1.796856038964574e-07,0.0
O1,0,0,20,-2.864193548753717e-09,0.0
Pz,0,0,20,6.322404734739799e-07,0.0
POz,0,0,20,6.046268422304991e-07,0.0
Oz,0,0,20,-7.765401579815469e-09,0.0
Iz,0,0,20,-7.778576538570187e-07,0.0
O2,0,0,21,-4.045726317165436e-08,0.0049999999999999906
PO4,0,0,21,-7.614718176227925e-08,0.0049999999999999906
P4,0,0,21,9.259969630048608e-08,0.0049999999999999906
P6,0,0,21,-4.0221657455675706e-07,0.0049999999999999906
P2,0,0,21,5.637309362736759e-07,0.0049999999999999906
P1,0,0,21,9.353987137821765e-07,0.0049999999999999906
P3,0,0,21,9.095081009915431e-07,0.0049999999999999906
P5,0,0,21,3.6160489714608056e-07,0.0049999999999999906
PO3,0,0,21,2.4987351058069437e-07,0.0049999999999999906
O1,0,0,21,-2.1898557993199557e-08,0.0049999999999999906
Pz,0,0,21,4.301889962297954e-07,0.0049999999999999906
POz,0,0,21,3.125476115400911e-07,0.0049999999999999906
Oz,0,0,21,-4.052180461396637e-07,0.0049999999999999906
Iz,0,0,21,-9.830702765324768e-07,0.0049999999999999906
O2,0,0,22,-1.662987741516968e-08,0.009999999999999995
PO4,0,0,22,-9.106020096305868e-08,0.009999999999999995
P4,0,0,22,2.591965525489663e-07,0.009999999999999995
P6,0,0,22,-4.24057041393487e-07,0.009999999999999995
P2,0,0,22,5.34366505378243e-07,0.009999999999999995
P1,0,0,22,7.661276116334146e-07,0.009999999999999995
P3,0,0,22,7.385890275408896e-07,0.009999999999999995
P5,0,0,22,2.4257459840178186e-07,0.009999999999999995
